team1,team2,score,event,match_url
Nemesis Impact,Peekaboo,0-2,ESL Impact League Season 8 Europe,https://www.hltv.org/matches/2386293/nemesis-impact-vs-peekaboo-esl-impact-league-season-8-europe
GUN5,PARIVISION,0-2,Galaxy Battle 2025 Phase 4,https://www.hltv.org/matches/2386210/gun5-vs-parivision-galaxy-battle-2025-phase-4
NIP Impact,AKA HERO KAJO,2-0,ESL Impact League Season 8 Europe,https://www.hltv.org/matches/2386292/nip-impact-vs-aka-hero-kajo-esl-impact-league-season-8-europe
ARCRED,RUBY,2-1,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386551/arcred-vs-ruby-esl-challenger-league-season-50-europe-cup-3
500,Leo,2-1,NODWIN Clutch Series 1,https://www.hltv.org/matches/2386724/500-vs-leo-nodwin-clutch-series-1
Sashi,SPARTA,2-1,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386549/sashi-vs-sparta-esl-challenger-league-season-50-europe-cup-3
BetBoom,Dziuseppe,2-0,CCT Season 3 Europe Series 8,https://www.hltv.org/matches/2386335/betboom-vs-dziuseppe-cct-season-3-europe-series-8
BC.Game,Partizan,0-2,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386550/bcgame-vs-partizan-esl-challenger-league-season-50-europe-cup-3
Betera,NOVAQ,0-2,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386552/betera-vs-novaq-esl-challenger-league-season-50-europe-cup-3
Nexus,Oramond,0-2,Exort The Proving Grounds Season 5,https://www.hltv.org/matches/2386419/nexus-vs-oramond-exort-the-proving-grounds-season-5
GameHunters,Vasco,2-0,CCT Season 3 South America Series 5,https://www.hltv.org/matches/2386681/gamehunters-vs-vasco-cct-season-3-south-america-series-5
Nemiga,JiJieHao,2-1,Galaxy Battle 2025 Phase 4,https://www.hltv.org/matches/2386209/nemiga-vs-jijiehao-galaxy-battle-2025-phase-4
GUN5,JiJieHao,1-0,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386553/gun5-vs-jijiehao-esl-challenger-league-season-50-europe-cup-3
ECSTATIC,EYEBALLERS,1-2,CCT Season 3 Europe Series 8,https://www.hltv.org/matches/2386334/ecstatic-vs-eyeballers-cct-season-3-europe-series-8
ECLOT,GLORE,2-1,Slovak National Championship 2025 Finals,https://www.hltv.org/matches/2386671/eclot-vs-glore-slovak-national-championship-2025-finals
Insilio,The Glecs,1-0,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386554/insilio-vs-the-glecs-esl-challenger-league-season-50-europe-cup-3
Tricked,UNiTY,1-2,NODWIN Clutch Series 1,https://www.hltv.org/matches/2386723/tricked-vs-unity-nodwin-clutch-series-1
TPuDCATb TPu,Betclic,2-0,Exort The Proving Grounds Season 5,https://www.hltv.org/matches/2386418/tpudcatb-tpu-vs-betclic-exort-the-proving-grounds-season-5
Spirit Academy,1win,1-2,CCT Season 3 Europe Series 8,https://www.hltv.org/matches/2386333/spirit-academy-vs-1win-cct-season-3-europe-series-8
Players,UnderDogs,0-2,CCT Season 3 South America Series 5,https://www.hltv.org/matches/2386680/players-vs-underdogs-cct-season-3-south-america-series-5
Just Swing,Kaleido,0-2,ESL Challenger League Season 50 Asia-Pacific Cup 3,https://www.hltv.org/matches/2386525/just-swing-vs-kaleido-esl-challenger-league-season-50-asia-pacific-cup-3
