match_id,season_id,matchday,date,time,home_team,away_team,home_score,away_score,result,goal_diff
2024_17_UJPEST_KTE,2024,17,2024-12-15,07:00,Újpest FC,Kecskeméti TE,1,1,D,0
2024_17_NYIREGYHAZA_FTC,2024,17,2024-12-15,09:30,Nyíregyháza Spartacus,Ferencvárosi TC,0,1,A,-1
2024_18_PAKS_ETO,2024,18,2025-02-01,08:30,Paksi FC,ETO FC,1,1,D,0
2024_18_FEHERVAR_PUSKAS,2024,18,2025-02-01,11:00,Fehérvár FC,Puskás Akadémia FC,1,0,H,1
2024_18_DVTK_UJPEST,2024,18,2025-02-01,13:30,Diósgyőri VTK,Újpest FC,1,1,D,0
2024_18_DVSC_NYIREGYHAZA,2024,18,2025-02-02,06:45,Debreceni VSC,Nyíregyháza Spartacus,3,1,H,2
2024_18_KTE_ZTE,2024,18,2025-02-02,11:30,Kecskeméti TE,Zalaegerszegi TE FC,1,0,H,1
2024_18_FTC_MTK,2024,18,2025-02-02,14:15,Ferencvárosi TC,MTK Budapest,0,0,D,0
2024_19_MTK_DVSC,2024,19,2025-02-07,14:00,MTK Budapest,Debreceni VSC,0,2,A,-2
2024_19_NYIREGYHAZA_KTE,2024,19,2025-02-08,08:30,Nyíregyháza Spartacus,Kecskeméti TE,0,0,D,0
2024_19_PAKS_FEHERVAR,2024,19,2025-02-08,11:00,Paksi FC,Fehérvár FC,2,0,H,2
2024_19_ETO_UJPEST,2024,19,2025-02-08,13:30,ETO FC,Újpest FC,3,0,H,3
2024_19_ZTE_DVTK,2024,19,2025-02-09,09:30,Zalaegerszegi TE FC,Diósgyőri VTK,2,1,H,1
2024_19_PUSKAS_FTC,2024,19,2025-02-09,12:00,Puskás Akadémia FC,Ferencvárosi TC,1,0,H,1
2024_20_FEHERVAR_ETO,2024,20,2025-02-14,14:00,Fehérvár FC,ETO FC,0,1,A,-1
2024_20_KTE_MTK,2024,20,2025-02-15,08:30,Kecskeméti TE,MTK Budapest,5,0,H,5
2024_20_DVTK_NYIREGYHAZA,2024,20,2025-02-15,11:00,Diósgyőri VTK,Nyíregyháza Spartacus,1,2,A,-1
2024_20_DVSC_PUSKAS,2024,20,2025-02-15,13:30,Debreceni VSC,Puskás Akadémia FC,1,2,A,-1
2024_20_UJPEST_ZTE,2024,20,2025-02-16,09:30,Újpest FC,Zalaegerszegi TE FC,1,2,A,-1
2024_20_FTC_PAKS,2024,20,2025-02-16,12:00,Ferencvárosi TC,Paksi FC,0,2,A,-2
2024_21_MTK_DVTK,2024,21,2025-02-21,14:00,MTK Budapest,Diósgyőri VTK,4,0,H,4
2024_21_PUSKAS_KTE,2024,21,2025-02-22,08:30,Puskás Akadémia FC,Kecskeméti TE,4,2,H,2
2024_21_PAKS_DVSC,2024,21,2025-02-22,11:00,Paksi FC,Debreceni VSC,4,3,H,1
2024_21_NYIREGYHAZA_UJPEST,2024,21,2025-02-22,13:30,Nyíregyháza Spartacus,Újpest FC,0,0,D,0
2024_21_ETO_ZTE,2024,21,2025-02-23,09:30,ETO FC,Zalaegerszegi TE FC,2,0,H,2
2024_21_FEHERVAR_FTC,2024,21,2025-02-23,12:00,Fehérvár FC,Ferencvárosi TC,1,3,A,-2
2024_22_ZTE_NYIREGYHAZA,2024,22,2025-03-01,08:30,Zalaegerszegi TE FC,Nyíregyháza Spartacus,0,0,D,0
2024_22_DVTK_PUSKAS,2024,22,2025-03-01,11:00,Diósgyőri VTK,Puskás Akadémia FC,2,1,H,1
2024_22_UJPEST_MTK,2024,22,2025-03-01,13:30,Újpest FC,MTK Budapest,1,5,A,-4
2024_22_DVSC_FEHERVAR,2024,22,2025-03-02,08:00,Debreceni VSC,Fehérvár FC,1,2,A,-1
2024_22_KTE_PAKS,2024,22,2025-03-02,10:30,Kecskeméti TE,Paksi FC,2,2,D,0
2024_22_FTC_ETO,2024,22,2025-03-02,12:00,Ferencvárosi TC,ETO FC,2,2,D,0
2024_23_KTE_FEHERVAR,2024,23,2025-03-07,14:00,Kecskeméti TE,Fehérvár FC,2,2,D,0
2024_23_NYIREGYHAZA_ETO,2024,23,2025-03-08,08:30,Nyíregyháza Spartacus,ETO FC,0,1,A,-1
2024_23_ZTE_MTK,2024,23,2025-03-08,11:00,Zalaegerszegi TE FC,MTK Budapest,1,1,D,0
2024_23_DVTK_PAKS,2024,23,2025-03-08,13:30,Diósgyőri VTK,Paksi FC,0,2,A,-2
2024_23_UJPEST_PUSKAS,2024,23,2025-03-09,10:30,Újpest FC,Puskás Akadémia FC,1,1,D,0
2024_23_DVSC_FTC,2024,23,2025-03-09,13:00,Debreceni VSC,Ferencvárosi TC,0,1,A,-1
2024_24_ETO_DVSC,2024,24,2025-03-14,13:00,ETO FC,Debreceni VSC,0,0,D,0
2024_24_PAKS_UJPEST,2024,24,2025-03-14,15:30,Paksi FC,Újpest FC,6,1,H,5
2024_24_FEHERVAR_DVTK,2024,24,2025-03-16,07:30,Fehérvár FC,Diósgyőri VTK,0,0,D,0
2024_24_FTC_KTE,2024,24,2025-03-16,10:00,Ferencvárosi TC,Kecskeméti TE,4,0,H,4
