matchday,team,current_pts,exp_final_pts,p_champion,p_top4,p_relegation,current_rank
27,Újpest FC,34,41.5,0.0,1.0,0.1,7
28,Debreceni VSC,29,35.5,0.0,0.0,18.2,9
28,Diósgyőri VTK,39,44.9,0.0,4.0,0.0,6
28,ETO FC,43,50.0,0.0,56.8,0.0,4
28,Fehérvár FC,31,36.3,0.0,0.0,9.7,8
28,Ferencvárosi TC,56,65.2,78.8,100.0,0.0,1
28,Kecskeméti TE,22,27.4,0.0,0.0,98.2,12
28,MTK Budapest,42,48.9,0.0,38.8,0.0,5
28,Nyíregyháza Spartacus,27,32.9,0.0,0.0,62.7,11
28,Paksi FC,52,59.6,6.0,100.0,0.0,3
28,Puskás Akadémia FC,53,61.6,15.2,100.0,0.0,2
28,Zalaegerszegi TE FC,29,36.5,0.0,0.0,10.9,10
28,Újpest FC,35,41.4,0.0,0.5,0.2,7
29,Debreceni VSC,29,33.8,0.0,0.0,37.6,11
29,Diósgyőri VTK,40,44.9,0.0,1.5,0.0,6
29,ETO FC,46,51.6,0.0,85.6,0.0,4
29,Fehérvár FC,31,35.5,0.0,0.0,19.1,8
29,Ferencvárosi TC,59,66.4,86.5,100.0,0.0,1
29,Kecskeméti TE,23,27.4,0.0,0.0,98.9,12
29,MTK Budapest,42,48.0,0.0,12.9,0.0,5
29,Nyíregyháza Spartacus,30,34.8,0.0,0.0,29.5,10
29,Paksi FC,52,58.1,0.4,100.0,0.0,3
29,Puskás Akadémia FC,56,62.7,13.1,100.0,0.0,2
29,Zalaegerszegi TE FC,30,35.7,0.0,0.0,14.8,9
29,Újpest FC,36,40.9,0.0,0.1,0.0,7
30,Debreceni VSC,30,33.1,0.0,0.0,44.5,11
30,Diósgyőri VTK,41,44.3,0.0,0.1,0.0,6
30,ETO FC,49,53.3,0.0,97.0,0.0,4
30,Fehérvár FC,31,34.1,0.0,0.0,29.4,9
30,Ferencvárosi TC,60,65.4,84.0,100.0,0.0,1
30,Kecskeméti TE,24,26.7,0.0,0.0,99.9,12
30,MTK Budapest,43,47.9,0.0,2.9,0.0,5
30,Nyíregyháza Spartacus,31,34.8,0.0,0.0,18.7,10
30,Paksi FC,55,59.8,3.1,100.0,0.0,3
30,Puskás Akadémia FC,57,62.9,12.8,100.0,0.0,2
30,Zalaegerszegi TE FC,31,35.5,0.0,0.0,7.4,8
30,Újpest FC,36,39.5,0.0,0.0,0.1,7
31,Debreceni VSC,30,32.4,0.0,0.0,56.9,11
31,Diósgyőri VTK,41,43.0,0.0,0.0,0.0,6
31,ETO FC,52,54.6,0.0,100.0,0.0,4
31,Fehérvár FC,31,33.1,0.0,0.0,39.6,10
31,Ferencvárosi TC,63,66.8,93.0,100.0,0.0,1
31,Kecskeméti TE,24,25.6,0.0,0.0,100.0,12
31,MTK Budapest,46,49.2,0.0,0.0,0.0,5
31,Nyíregyháza Spartacus,34,36.4,0.0,0.0,0.6,8
31,Paksi FC,55,58.7,0.0,100.0,0.0,3
31,Puskás Akadémia FC,60,63.9,7.0,100.0,0.0,2
31,Zalaegerszegi TE FC,32,34.7,0.0,0.0,2.9,9
31,Újpest FC,37,39.5,0.0,0.0,0.0,7
32,Debreceni VSC,31,32.1,0.0,0.0,42.8,10
32,Diósgyőri VTK,44,44.6,0.0,0.0,0.0,6
32,ETO FC,53,54.0,0.0,100.0,0.0,4
32,Fehérvár FC,31,32.6,0.0,0.0,57.2,11
32,Ferencvárosi TC,66,67.7,100.0,100.0,0.0,1
32,Kecskeméti TE,24,24.7,0.0,0.0,100.0,12
32,MTK Budapest,46,47.8,0.0,0.0,0.0,5
32,Nyíregyháza Spartacus,35,36.4,0.0,0.0,0.0,8
32,Paksi FC,56,58.1,0.0,100.0,0.0,3
32,Puskás Akadémia FC,63,65.2,0.0,100.0,0.0,2
32,Zalaegerszegi TE FC,33,34.4,0.0,0.0,0.0,9
