Date,home_team,away_team,home_odds,away_odds
2025-03-10,Minnesota Timberwolves,San Antonio Spurs,1.18,5.09
2025-03-10,Philadelphia 76ers,Utah Jazz,1.4,3.07
2025-03-10,New Orleans Pelicans,Memphis Grizzlies,4.53,1.22
2025-03-09,Dallas Mavericks,Phoenix Suns,3.21,1.37
2025-03-09,Oklahoma City Thunder,Denver Nuggets,1.34,3.43
2025-03-09,Boston Celtics,Los Angeles Lakers,1.42,2.97
2025-03-09,Golden State Warriors,Detroit Pistons,1.5,2.69
2025-03-09,Miami Heat,Chicago Bulls,1.51,2.67
2025-03-09,Milwaukee Bucks,Orlando Magic,1.38,3.17
2025-03-09,Atlanta Hawks,Indiana Pacers,1.96,1.89
2025-03-09,Toronto Raptors,Washington Wizards,1.57,2.49
2025-03-09,Houston Rockets,New Orleans Pelicans,1.35,3.33
2025-03-09,Charlotte Hornets,Brooklyn Nets,2.82,1.46
2025-03-08,LA Clippers,New York Knicks,1.4,3.06
2025-03-08,Denver Nuggets,Phoenix Suns,1.26,4.05
2025-03-08,Sacramento Kings,San Antonio Spurs,1.4,3.08
2025-03-08,Miami Heat,Minnesota Timberwolves,2.34,1.64
2025-03-08,Oklahoma City Thunder,Portland Trail Blazers,1.8,2.06
2025-03-08,Dallas Mavericks,Memphis Grizzlies,4.46,1.22
2025-03-08,Toronto Raptors,Utah Jazz,1.46,2.8
2025-03-08,Charlotte Hornets,Cleveland Cavaliers,9.11,1.07
2025-03-07,Los Angeles Lakers,New York Knicks,1.71,2.21
2025-03-07,New Orleans Pelicans,Houston Rockets,2.35,1.63
2025-03-07,Atlanta Hawks,Indiana Pacers,1.83,2.03
2025-03-07,Boston Celtics,Philadelphia 76ers,1.11,7.41
2025-03-07,Brooklyn Nets,Golden State Warriors,5.11,1.18
2025-03-07,Orlando Magic,Chicago Bulls,1.31,3.6
2025-03-06,LA Clippers,Detroit Pistons,2.33,1.64
2025-03-06,Memphis Grizzlies,Oklahoma City Thunder,3.26,1.36
2025-03-06,Denver Nuggets,Sacramento Kings,1.29,3.79
2025-03-06,Milwaukee Bucks,Dallas Mavericks,1.15,5.84
2025-03-06,Boston Celtics,Portland Trail Blazers,1.26,4.07
2025-03-06,Charlotte Hornets,Minnesota Timberwolves,3.98,1.27
2025-03-06,Cleveland Cavaliers,Miami Heat,1.12,6.69
2025-03-06,Washington Wizards,Utah Jazz,1.48,2.73
2025-03-05,Los Angeles Lakers,New Orleans Pelicans,1.31,3.61
2025-03-05,Phoenix Suns,LA Clippers,2.22,1.7
2025-03-05,San Antonio Spurs,Brooklyn Nets,1.63,2.36
2025-03-05,Chicago Bulls,Cleveland Cavaliers,6.56,1.13
2025-03-05,Minnesota Timberwolves,Philadelphia 76ers,1.12,6.89
2025-03-05,Atlanta Hawks,Milwaukee Bucks,2.74,1.49
2025-03-05,New York Knicks,Golden State Warriors,1.86,2.0
2025-03-05,Indiana Pacers,Houston Rockets,1.56,2.52
