strategy,bet_num,bankroll
E. Prop. Edge (50%) | Edge 5%,1,97247.0
E. Prop. Edge (50%) | Edge 5%,2,93844.0
E. Prop. Edge (50%) | Edge 5%,3,85735.0
E. Prop. Edge (50%) | Edge 5%,4,68588.0
E. Prop. Edge (50%) | Edge 5%,5,54870.0
E. Prop. Edge (50%) | Edge 5%,6,73274.4
E. Prop. Edge (50%) | Edge 5%,7,58619.399999999994
E. Prop. Edge (50%) | Edge 5%,8,87397.79999999999
E. Prop. Edge (50%) | Edge 5%,9,75267.79999999999
E. Prop. Edge (50%) | Edge 5%,10,122811.0
E. Prop. Edge (50%) | Edge 5%,11,117109.0
E. Prop. Edge (50%) | Edge 5%,12,111761.0
E. Prop. Edge (50%) | Edge 5%,13,107842.0
E. Prop. Edge (50%) | Edge 5%,14,90266.0
E. Prop. Edge (50%) | Edge 5%,15,202194.6
E. Prop. Edge (50%) | Edge 5%,16,376082.3
E. Prop. Edge (50%) | Edge 5%,17,432613.6
E. Prop. Edge (50%) | Edge 5%,18,346090.6
E. Prop. Edge (50%) | Edge 5%,19,335367.6
E. Prop. Edge (50%) | Edge 5%,20,318267.6
E. Prop. Edge (50%) | Edge 5%,21,299267.6
E. Prop. Edge (50%) | Edge 5%,22,283626.6
E. Prop. Edge (50%) | Edge 5%,23,262794.6
E. Prop. Edge (50%) | Edge 5%,24,254774.59999999998
E. Prop. Edge (50%) | Edge 5%,25,237149.59999999998
E. Prop. Edge (50%) | Edge 5%,26,195983.59999999998
E. Prop. Edge (50%) | Edge 5%,27,178480.59999999998
E. Prop. Edge (50%) | Edge 5%,28,156554.59999999998
E. Prop. Edge (50%) | Edge 5%,29,222906.59999999998
E. Prop. Edge (50%) | Edge 5%,30,211033.59999999998
E. Prop. Edge (50%) | Edge 5%,31,189209.59999999998
E. Prop. Edge (50%) | Edge 5%,32,170566.59999999998
E. Prop. Edge (50%) | Edge 5%,33,158796.59999999998
E. Prop. Edge (50%) | Edge 5%,34,154093.59999999998
E. Prop. Edge (50%) | Edge 5%,35,147590.59999999998
E. Prop. Edge (50%) | Edge 5%,36,306987.8
E. Prop. Edge (50%) | Edge 5%,37,299263.8
E. Prop. Edge (50%) | Edge 5%,38,239410.8
E. Prop. Edge (50%) | Edge 5%,39,294394.3
E. Prop. Edge (50%) | Edge 5%,40,235515.3
E. Prop. Edge (50%) | Edge 5%,41,224946.3
E. Prop. Edge (50%) | Edge 5%,42,214215.3
E. Prop. Edge (50%) | Edge 5%,43,171372.3
E. Prop. Edge (50%) | Edge 5%,44,137098.3
E. Prop. Edge (50%) | Edge 5%,45,129507.29999999999
E. Prop. Edge (50%) | Edge 5%,46,234364.3
E. Prop. Edge (50%) | Edge 5%,47,187491.3
E. Prop. Edge (50%) | Edge 5%,48,172851.3
