Date,Home,Away,HomeGoals,AwayGoals,Match_URL,HomePoints,AwayPoints,HomePointsDropped,AwayPointsDropped
2025-03-02,Kecskemét,Paks,2,2,https://fbref.com/en/matches/26365f5d/Kecskemet-Paks-March-2-2025-NB-I,1,1,0.0,2.0
2025-03-02,Ferencváros,Győr,2,2,https://fbref.com/en/matches/75d20e21/Ferencvaros-Gyor-March-2-2025-NB-I,1,1,0.0,2.0
2025-03-07,Kecskemét,Vidi,2,2,https://fbref.com/en/matches/299f8ed8/Kecskemet-Vidi-March-7-2025-NB-I,1,1,2.0,0.0
2025-03-08,Nyíregyháza,Győr,0,1,https://fbref.com/en/matches/fd7094cd/Nyiregyhaza-Gyor-March-8-2025-NB-I,0,3,0.0,0.0
2025-03-08,Zalaegerszeg,MTK Budapest,1,1,https://fbref.com/en/matches/5b7912fd/Zalaegerszeg-MTK-Budapest-March-8-2025-NB-I,1,1,2.0,0.0
2025-03-08,Diósgyőr,Paks,0,2,https://fbref.com/en/matches/bf45c74e/Diosgyor-Paks-March-8-2025-NB-I,0,3,0.0,0.0
2025-03-09,Újpest,Puskás,1,1,https://fbref.com/en/matches/490462fe/Ujpest-Puskas-Akademia-March-9-2025-NB-I,1,1,0.0,2.0
2025-03-09,Debrecen,Ferencváros,0,1,https://fbref.com/en/matches/e5c39639/Debrecen-Ferencvaros-March-9-2025-NB-I,0,3,0.0,0.0
2025-03-14,Győr,Debrecen,0,0,https://fbref.com/en/matches/5cbb9a74/Gyor-Debrecen-March-14-2025-NB-I,1,1,0.0,0.0
2025-03-14,Paks,Újpest,6,1,https://fbref.com/en/matches/cbdad3eb/Paks-Ujpest-March-14-2025-NB-I,3,0,0.0,3.0
2025-03-16,Vidi,Diósgyőr,0,0,https://fbref.com/en/matches/07420533/Vidi-Diosgyor-March-16-2025-NB-I,1,1,0.0,0.0
2025-03-16,Ferencváros,Kecskemét,4,0,https://fbref.com/en/matches/e22ee9e1/Ferencvaros-Kecskemet-March-16-2025-NB-I,3,0,0.0,0.0
2025-03-16,MTK Budapest,Nyíregyháza,3,0,https://fbref.com/en/matches/e30857b2/MTK-Budapest-Nyiregyhaza-March-16-2025-NB-I,3,0,0.0,0.0
2025-03-16,Puskás,Zalaegerszeg,2,1,https://fbref.com/en/matches/dc2baf2e/Puskas-Akademia-Zalaegerszeg-March-16-2025-NB-I,3,0,0.0,0.0
2025-03-28,Kecskemét,Debrecen,1,3,https://fbref.com/en/matches/e4920b32/Kecskemet-Debrecen-March-28-2025-NB-I,0,3,0.0,0.0
2025-03-29,Győr,MTK Budapest,2,1,https://fbref.com/en/matches/3649ea7d/Gyor-MTK-Budapest-March-29-2025-NB-I,3,0,0.0,0.0
2025-03-29,Zalaegerszeg,Paks,1,1,https://fbref.com/en/matches/8dbd10ba/Zalaegerszeg-Paks-March-29-2025-NB-I,1,1,0.0,2.0
2025-03-29,Nyíregyháza,Puskás,0,2,https://fbref.com/en/matches/29dd14a4/Nyiregyhaza-Puskas-Akademia-March-29-2025-NB-I,0,3,0.0,0.0
2025-03-30,Újpest,Vidi,2,2,https://fbref.com/en/matches/5fd2843c/Ujpest-Vidi-March-30-2025-NB-I,1,1,2.0,0.0
2025-03-30,Diósgyőr,Ferencváros,1,1,https://fbref.com/en/matches/b22f9d52/Diosgyor-Ferencvaros-March-30-2025-NB-I,1,1,0.0,0.0
2025-04-05,Kecskemét,Győr,1,1,https://fbref.com/en/matches/1de1d541/Kecskemet-Gyor-April-5-2025-NB-I,1,1,2.0,0.0
2025-04-05,Paks,Nyíregyháza,2,0,https://fbref.com/en/matches/bc58479e/Paks-Nyiregyhaza-April-5-2025-NB-I,3,0,0.0,0.0
2025-04-05,Debrecen,Diósgyőr,4,1,https://fbref.com/en/matches/c31e4d90/Debrecen-Diosgyor-April-5-2025-NB-I,3,0,0.0,3.0
2025-04-06,Vidi,Zalaegerszeg,0,2,https://fbref.com/en/matches/e6e01c87/Vidi-Zalaegerszeg-April-6-2025-NB-I,0,3,0.0,0.0
2025-04-06,Puskás,MTK Budapest,1,1,https://fbref.com/en/matches/7f9adfe5/Puskas-Akademia-MTK-Budapest-April-6-2025-NB-I,1,1,0.0,2.0
2025-04-06,Ferencváros,Újpest,2,0,https://fbref.com/en/matches/4a7f2412/Ferencvaros-Ujpest-April-6-2025-NB-I,3,0,0.0,0.0
2025-04-11,Diósgyőr,Kecskemét,2,1,https://fbref.com/en/matches/530fcb1b/Diosgyor-Kecskemet-April-11-2025-NB-I,3,0,0.0,0.0
2025-04-11,MTK Budapest,Paks,1,2,https://fbref.com/en/matches/a55c1485/MTK-Budapest-Paks-April-11-2025-NB-I,0,3,0.0,0.0
2025-04-12,Győr,Puskás,2,0,https://fbref.com/en/matches/c6b65cd4/Gyor-Puskas-Akademia-April-12-2025-NB-I,3,0,0.0,0.0
2025-04-12,Zalaegerszeg,Ferencváros,0,2,https://fbref.com/en/matches/95e2470d/Zalaegerszeg-Ferencvaros-April-12-2025-NB-I,0,3,0.0,0.0
2025-04-13,Újpest,Debrecen,2,1,https://fbref.com/en/matches/eaee1a7a/Ujpest-Debrecen-April-13-2025-NB-I,3,0,0.0,0.0
2025-04-13,Nyíregyháza,Vidi,1,0,https://fbref.com/en/matches/9c03163f/Nyiregyhaza-Vidi-April-13-2025-NB-I,3,0,0.0,0.0
2025-04-19,Debrecen,Zalaegerszeg,4,3,https://fbref.com/en/matches/c4af9229/Debrecen-Zalaegerszeg-April-19-2025-NB-I,3,0,0.0,3.0
2025-04-19,Diósgyőr,Győr,2,4,https://fbref.com/en/matches/475ce260/Diosgyor-Gyor-April-19-2025-NB-I,0,3,0.0,0.0
2025-04-19,Paks,Puskás,2,2,https://fbref.com/en/matches/84709fd5/Paks-Puskas-Akademia-April-19-2025-NB-I,1,1,2.0,0.0
2025-04-20,Vidi,MTK Budapest,1,1,https://fbref.com/en/matches/3cfa8333/Vidi-MTK-Budapest-April-20-2025-NB-I,1,1,2.0,0.0
2025-04-20,Ferencváros,Nyíregyháza,7,0,https://fbref.com/en/matches/45cfafd5/Ferencvaros-Nyiregyhaza-April-20-2025-NB-I,3,0,0.0,0.0
